# z                      e_perp                   e_para                   
1.660892000000000124e+01 1.631661999999999946e+00 2.371062487566073518e+00
1.683037200000000055e+01 1.489421000000000106e+00 2.062319363404915062e+00
1.705182399999999987e+01 1.378721000000000085e+00 1.822037982898307984e+00
1.727327700000000021e+01 1.292502000000000040e+00 1.634894167668866860e+00
1.749472899999999953e+01 1.225368000000000013e+00 1.489175557019087659e+00
1.771618099999999885e+01 1.173162000000000038e+00 1.375859118439792805e+00
1.793763300000000172e+01 1.132651999999999992e+00 1.287929590668133839e+00
1.815908599999999851e+01 1.101304000000000061e+00 1.219886765770924253e+00
1.838053800000000138e+01 1.077123999999999970e+00 1.167402540110131337e+00
1.860199000000000069e+01 1.058534000000000086e+00 1.127051764467694284e+00
1.882344200000000001e+01 1.044289000000000023e+00 1.096132087274228617e+00
1.904489500000000035e+01 1.033406999999999965e+00 1.072512015163362253e+00
1.926634699999999967e+01 1.025118999999999891e+00 1.054522384796255041e+00
1.948779899999999898e+01 1.018826000000000009e+00 1.040863028630689913e+00
1.970925199999999933e+01 1.014059999999999961e+00 1.030518122944199533e+00
1.993070399999999864e+01 1.010464000000000029e+00 1.022712776563876602e+00
2.015215600000000151e+01 1.007757999999999932e+00 1.016839231707048263e+00
2.037360800000000083e+01 1.005730000000000013e+00 1.012437328909691514e+00
2.059506100000000117e+01 1.004215999999999998e+00 1.009151095756240846e+00
2.081651300000000049e+01 1.003090000000000037e+00 1.006707041244493395e+00
2.103796499999999980e+01 1.002256000000000036e+00 1.004896791277533064e+00
2.125941699999999912e+01 1.001641000000000004e+00 1.003561894719162906e+00
2.148086999999999946e+01 1.001189000000000107e+00 1.002580800012848883e+00
2.170232199999999878e+01 1.000858999999999943e+00 1.001864514054698896e+00
2.192377400000000165e+01 1.000618999999999925e+00 1.001343578812408097e+00
2.214522600000000097e+01 1.000444000000000111e+00 1.000963730198238144e+00
2.236667900000000131e+01 1.000318000000000040e+00 1.000690239196035281e+00
2.258813100000000063e+01 1.000227999999999895e+00 1.000494888480176092e+00
2.280958299999999994e+01 1.000161999999999995e+00 1.000351631288546317e+00
2.303103499999999926e+01 1.000116000000000005e+00 1.000251785367107127e+00
2.325248799999999960e+01 1.000081999999999915e+00 1.000177986207782421e+00
2.347393999999999892e+01 1.000059000000000031e+00 1.000128063247063270e+00
2.369539199999999823e+01 1.000042000000000098e+00 1.000091163667401029e+00
2.391684499999999858e+01 1.000029999999999974e+00 1.000065116905286322e+00
2.413829700000000145e+01 1.000021000000000049e+00 1.000045581833700625e+00
2.435974900000000076e+01 1.000015000000000098e+00 1.000032558452643494e+00
2.458120100000000008e+01 1.000010999999999983e+00 1.000023876198604889e+00
2.480265400000000042e+01 1.000008000000000008e+00 1.000017364508076323e+00
2.502410599999999974e+01 1.000005999999999950e+00 1.000013023381057131e+00
2.524555799999999905e+01 1.000003999999999893e+00 1.000008682254037939e+00
2.546700999999999837e+01 1.000002999999999975e+00 1.000006511690528566e+00
2.568846299999999871e+01 1.000002000000000058e+00 1.000004341127019192e+00
2.590991500000000158e+01 1.000002000000000058e+00 1.000004341127019192e+00
2.613136700000000090e+01 1.000000999999999918e+00 1.000002170563509374e+00
2.635281900000000022e+01 1.000000999999999918e+00 1.000002170563509374e+00
2.657427200000000056e+01 1.000000999999999918e+00 1.000002170563509374e+00
2.679572399999999988e+01 1.000000999999999918e+00 1.000002170563509374e+00
2.701717599999999919e+01 1.000000999999999918e+00 1.000002170563509374e+00
2.723862899999999954e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.746008099999999885e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.768153300000000172e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.790298500000000104e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.812443800000000138e+01 1.000000000000000000e+00 1.000000000000000000e+00
